0,1,2,3,4
이진희,,,VFX 아티스트,모가디슈|안시성|각자의 미식|기생 : 꽃의 고백|김광석|순수의 시대|장수상회|조선명탐정 : 사라진 놉의 딸|쎄시봉|강남 1970|국제시장|두근두근 내 인생|해무(海霧)|역린|미스터 고|타워|도둑들|가비|페이스메이커|마이 웨이
정수현,JUNG Soo-hyun,JUNG Soo-hyun,VFX 슈퍼바이저,"비와 당신의 이야기|다만 악에서 구하소서|해치지않아|속물들|신의 한 수: 귀수편|퍼펙트맨|배심원들|돈|극한직업|명당|리틀 포레스트|공작|흥부: 글로 세상을 바꾼 자|살인자의 기억법|리얼|혼숨|미씽: 사라진 여자|특별수사: 사형수의 편지|해어화|널 기다리며|히야|남과 여|어떤살인|위험한 상견례 2|헬머니|국제시장|명량|의궤, 8일간의 축제 3D|조선미녀삼총사|뫼비우스|더 테러 라이브|뜨거운 안녕|파파로티|더 웹툰: 예고살인|미나문방구|전설의 주먹|사이코메트리|반창꼬|차이나 블루|피에타|청포도 사탕: 17년 전의 약속|공모자들|간기남|파파|너는 펫|Mr.아이돌|오직 그대만|최종병기 활|오빠가 돌아왔다|나탈리|인사동 스캔들|인류멸망 보고서"
박지현,,,VFX 아티스트,"모가디슈|다만 악에서 구하소서|남산의 부장들|천문: 하늘에 묻는다|속물들|나를 찾아줘|장사리 : 잊혀진 영웅들|롱 리브 더 킹: 목포 영웅|지푸라기라도 잡고 싶은 짐승들|돈|완벽한 타인|명당|리틀 포레스트|마약왕|물괴|공작|흥부: 글로 세상을 바꾼 자|살인자의 기억법|혼숨|미씽: 사라진 여자|특별수사: 사형수의 편지|해어화|히야|널 기다리며|남과 여|어떤살인|위험한 상견례 2|헬머니|국제시장|명량|의궤, 8일간의 축제 3D|조선미녀삼총사|더 테러 라이브|여고괴담 4 : 목소리|파송송 계란탁"
류연,RYU Yeon,RYU Yeon,DI팀,
송윤재,SONG Yoon-jae,SONG Yoon-jae,사운드팀,"귀문|싱크홀|이번엔 잘 되겠지|최면|담보|오! 문희|럭키 몬스터|감쪽같은 그녀|윤희에게|배심원들|생일|항거:유관순 이야기|창궐|탐정: 리턴즈|버닝|얼굴들|물괴|치즈인더트랩|조선명탐정: 흡혈괴마의 비밀|그것만이 내 세상|대립군|어느날|해빙|공조|죽여주는 여자|한강블루스|국가대표 2|미씽: 사라진 여자|특별수사: 사형수의 편지|대배우|남과 여|좋아해줘|히말라야|극적인 하룻밤|도리화가|열정같은소리하고있네|더 폰|특종: 량첸살인기|미쓰 와이프|연평해전|쓰리 썸머 나잇|스물|조선명탐정 : 사라진 놉의 딸|허삼관|개를 훔치는 완벽한 방법|국제시장|패션왕|나의 독재자|마담 뺑덕|픽업 아티스트|돼지 같은 여자|소수의견|가시|화이: 괴물을 삼킨 아이|미스터 고|은밀하게 위대하게|파파로티|닥터|미나문방구|뒷담화: 감독이 미쳤어요|뽀로로 극장판 슈퍼썰매 대모험|타워|음치 클리닉 |점쟁이들|광해, 왕이 된 남자|이웃사람|5백만불의 사나이|두 번의 결혼식과 한 번의 장례식|나쁜 피|미확인 동영상 : 절대클릭금지|원더풀 라디오|사물의 비밀|커플즈|오늘|투혼|카운트다운|도가니|챔프|세상에서 가장 아름다운 이별|위험한 상견례|마이 블랙 미니드레스|사랑한다, 사랑하지 않는다|그대를 사랑합니다|조선명탐정 : 각시투구꽃의 비밀|심장이 뛴다|김종욱 찾기|여의도|이층의 악당|김복남 살인사건의 전말|마음이2|맨발의 꿈|방자전|시|무법자|육혈포 강도단|주문진|카페 느와르|영도 다리|폭풍전야|회복|여배우들|시크릿|청담보살|집행자|펜트하우스 코끼리|여행자|4교시 추리영역|국가대표|보트|우리 집에 왜 왔니|실종|마린보이|탈주|히말라야, 바람이 머무는 곳|김씨표류기|허수아비들의 땅|어떤 개인 날|그녀들의 방|아기와 나|고死 : 피의 중간고사|크로싱|아버지와 마리와 나|여름, 속삭임|마이 뉴 파트너|라듸오 데이즈|슈퍼맨이었던 사나이|더 게임|뜨거운 것이 좋아|세븐 데이즈|마을금고 연쇄습격사건|두 얼굴의 여친|쏜다|좋지 아니한가|허브|올드미스다이어리|미녀는 괴로워|조용한 세상|그해 여름|잔혹한 출근|해변의 여인|천하장사 마돈나|사랑하니까, 괜찮아|다세포소녀|스승의 은혜|아치와 씨팍|가족의 탄생|여교수의 은밀한 매력|음란서생|백만장자의 첫사랑|싸움의 기술|나의 결혼원정기|소년, 천국에 가다|야수와 미녀|미스터 주부퀴즈왕|강력 3반|가문의 위기(가문의 영광2)|이대로, 죽을 순 없다(Short Time)|분홍신|말아톤|댄서의 순정|마파도|여고생 시집가기|귀여워|S 다이어리|바람의 파이터|신부수업|늑대의 유혹|달마야, 서울 가자|라이어|범죄의 재구성|맹부삼천지교|그녀를 믿지 마세요|돈 텔 파파|해피 에로 크리스마스|...ing|올드보이|봄날의 곰을 좋아하세요?|스캔들-조선남녀상열지사|오! 브라더스|4인용 식탁|여고괴담 세번째 이야기: 여우계단|청풍명월(淸風明月)|맛있는 섹스 그리고 사랑|별|동갑내기 과외하기|질투는 나의 힘|마들렌|철없는 아내와 파란만장한 남편 그리고 태권소녀|해안선|유아독존|도둑맞곤 못살아|일단뛰어|재밌는 영화|2009로스트메모리즈|마리이야기|고양이를 부탁해|썸머 타임|선물|7인의 새벽|자귀모(자살한 귀신들의 모임)|퇴마록|인 굿 컴퍼니|1997, 여름|가족시네마|시선 1318|판타스틱 자살소동"
김현우,KIM Hyun-woo,KIM Hyun-woo,제작,"미드나이트|낙원의 밤|뷰티풀 데이즈|마녀|살인소설|브이아이피|시간위의 집|목숨 건 연애|무수단|섬. 사라진 사람들|비밀|춘희막이|미쓰 와이프|마돈나|은밀한 유혹|파일 : 4022일의 사육|타투|오피스|산다|고양이 장례식|워킹걸|국제시장|카트|제자, 옥한흠|제보자|마담 뺑덕|두근두근 내 인생|좋은 친구들|경주|황제를 위하여|우는 남자|표적|60만번의 트라이|야간비행|명량|가시|우아한 거짓말|만신|찌라시: 위험한 소문|수상한 그녀|밤의 여왕|감기|설국열차|고령화 가족|더 웹툰: 예고살인|신세계|악마를 보았다|괴물"
이현우,,,소품팀,소리꾼|더 킹|국제시장|하늘을 걷는 소년|GP 506|무방비도시|6월의 일기|썸
현상필,,,DI팀,"최선의 삶|혼자 사는 사람들|어른들은 몰라요|애비규환|국도극장: 감독판|국도극장|집 이야기|윤희에게|버티고|타짜: 원 아이드 잭|우리집|굿바이 썸머|롱 리브 더 킹: 목포 영웅|로망|나는보리|호흡|메기|벌새|진범|보희와 녹양|예수보다 낯선|선희와 슬기|사바하|언더독|점박이 한반도의 공룡2 : 새로운 낙원|안녕, 나의 소녀 시절이여|영주|해피 투게더|협상|인랑|박화영|홈|그날, 바다|삼촌|썬키스 패밀리|히치하이크|이월|얼굴들|샘|봄이가도|살아남은 아이|변산|덕구|곤지암|소공녀|메리 크리스마스 미스터 모|푸른노을|메소드|박열|용순|괴물들|로마서 8:37|공조|나의 살던 고향은|서울역|슈퍼 프렌즈|우리들|탐정 홍길동: 사라진 마을|일사각오|22|지렁이|여교사|사돈의 팔촌|스틸 플라워|글로리데이|동주|극적인 하룻밤|도리화가|돌연변이|비밀|성난 변호사|뷰티 인사이드|협녀, 칼의 기억|은밀한 유혹|프랑스 영화처럼|들꽃|라이브 TV|사도|베테랑|나의 절친 악당들|장수상회|쎄시봉|오늘의 연애|상의원|국제시장|목숨|나의 독재자|소리굽쇠|슬로우 비디오|마담 뺑덕|타짜-신의 손|해무(海霧)|우는 남자|표적|소수의견|안녕, 투이|명량|이쁜 것들이 되어라|찌라시: 위험한 소문|수상한 그녀|집으로 가는 길|배우는 배우다|감기|공범|생일|세컨어카운트|치킨게임|자각몽|우리 지금 만나"
장강희,,,스토리보드,반도|모든 걸 걸었어 |오케이 마담|강철비2: 정상회담|엑시트|미성년|생일|국가부도의 날|공작|조선명탐정: 흡혈괴마의 비밀|염력|더 킹|공조|부산행|탐정 홍길동: 사라진 마을|궁합|조선명탐정 : 사라진 놉의 딸|국제시장|또 하나의 약속|동창생|몽타주|늑대소년|페이스메이커|블라인드|적과의 동침|조선명탐정 : 각시투구꽃의 비밀|황해|김복남 살인사건의 전말|의형제|시크릿|백야행|님은 먼 곳에|추격자|궁녀|최강로맨스|조용한 세상|남극일기|라이어|범죄의 재구성|내사랑 싸가지|4인용 식탁|연애소설|와니와 준하|아들의 여자
정현우,JUNG Hyun-woo,JUNG Hyun-woo,VFX 아티스트,"마녀|마약왕|물괴|바람 바람 바람|골든슬럼버|강철비|브이아이피|특별시민|공조|인천상륙작전|곡성|로봇, 소리|오빠생각|나를 잊지 말아요|도리화가|내부자들|돌연변이|탐정 : 더 비기닝|은밀한 유혹|국제시장|나의 사랑 나의 신부|소수의견|찌라시: 위험한 소문|수상한 그녀|배우는 배우다|감시자들|이별계약|몽타주|스파이|누구나 제 명에 죽고 싶다|타워|나의 PS 파트너 |용의자X|광해, 왕이 된 남자|마이 웨이|오싹한 연애|티끌모아 로맨스|커플즈|오늘|완득이|오직 그대만|고지전|퀵|플레이|체포왕|써니|달빛 길어올리기|아이들...|평양성|글러브|쩨쩨한 로맨스|이층의 악당|페스티발|초능력자|무적자|악마를 보았다|아저씨|이끼|폭풍전야|비밀애|주유소 습격사건 2|걸프렌즈|킬 미|요가학원|작전|키친|감자심포니|7급 공무원|핸드폰|좋은 놈, 나쁜 놈, 이상한 놈 |가루지기|허밍|궁녀|기담"
서정수,,,액션/스턴트팀,여고괴담 여섯번째 이야기 : 모교|미션 파서블|담보|양자물리학|장사리 : 잊혀진 영웅들|기도하는 남자|창궐|안시성|신과함께-죄와 벌|침묵|택시운전사|특별시민|머니백|1급기밀|리얼|비정규직 특수요원|공조|대역전|시간이탈자|히말라야|위험한 상견례 2|개: dog eat dog|살인의뢰|국제시장|해적: 바다로 간 산적|표적|역린|끝까지 간다|수상한 그녀|용의자|캐치미|더 파이브|응징자|스파이|미나문방구|런닝맨|네모난원|26년|나는 왕이로소이다|시체가 돌아왔다|퀵|고지전|헤드|위험한 상견례|이층의 악당|포화속으로|집 나온 남자들|육혈포 강도단|나쁜 놈이 더 잘 잔다|의형제|시크릿|백야행|영화는 영화다|펀치레이디|구타유발자들|호로비츠를 위하여|청춘만화|미스터 소크라테스|형사 Duelist|주홍글씨|돈 텔 파파|중독|보스 상륙 작전(Boss X File)|천사몽|치킨게임
정종배,,,특수효과,"장르만 로맨스|방법: 재차의|낫아웃|파이프라인|기적|여고괴담 여섯번째 이야기 : 모교|미션 파서블|더블패티|담보|자산어보|피원에이치 : 새로운 세계의 시작 |사라진 시간|결백|얼굴없는 보스: 못다한 이야기 감독판|얼굴없는 보스|장사리 : 잊혀진 영웅들|나쁜 녀석들: 더 무비|힘을 내요, 미스터 리|유열의 음악앨범|변신|나랏말싸미|배심원들|악인전|악몽|클로젯|계절과 계절 사이|진범|미성년|우상|자전차왕 엄복동|증인|내안의 그놈|스윙키즈|리벤져|동네사람들|협상|레슬러|7년의 밤|미쓰백|물괴|너의 결혼식|독전|챔피언|살인소설|바람 바람 바람|덕구|지금 만나러 갑니다|골든슬럼버|흥부: 글로 세상을 바꾼 자|그것만이 내 세상|강철비|반드시 잡는다|꾼|로마의 휴일|청년경찰|택시운전사|박열|하루|대립군|머니백|리얼|불한당: 나쁜 놈들의 세상|임금님의 사건수첩|비정규직 특수요원|재심|공조|판도라|고산자, 대동여지도|올레|비밀은 없다|엽기적인 그녀 2|해어화|남과 여|그날의 분위기|잡아야 산다|조선마술사|히말라야|도리화가|열정같은소리하고있네|탐정 : 더 비기닝|서부전선|퇴마: 무녀굴|협녀, 칼의 기억|미쓰 와이프|은밀한 유혹|코인라커|위험한 상견례 2|약장수|사도|오피스|손님|나의 절친 악당들|경성학교: 사라진 소녀들|차이나타운|헬머니|어우동: 주인 없는 꽃|기술자들|국제시장|패션왕|소리굽쇠|나의 독재자|타짜-신의 손|해적: 바다로 간 산적|신의 한 수|소녀괴담|그댄 나의 뱀파이어|표적|몬스터|찌라시: 위험한 소문|피끓는 청춘|창수|결혼전야|노브레싱|톱스타|롤러코스터|숨바꼭질|미스터 고|몽타주|공범|스파이|더 웹툰: 예고살인|연애의 온도|남쪽으로 튀어|7번방의 선물|음치 클리닉 |26년|내가 살인범이다|강철대오:구국의 철가방|나는 왕이로소이다|연가시|돈의 맛|은교|미확인 동영상 : 절대클릭금지|화차|댄싱퀸|퍼펙트 게임|결정적 한방|Mr.아이돌|카운트다운|7광구|링크|퀵|화이트: 저주의 멜로디|헤드|세상에서 가장 아름다운 이별|위험한 상견례|마이 블랙 미니드레스|사랑한다, 사랑하지 않는다|그대를 사랑합니다|평양성|심장이 뛴다|황해|김종욱 찾기|쩨쩨한 로맨스|소와 함께 여행하는 법|나탈리|살인의 강|방가? 방가!|무적자|폐가|고死 두 번째 이야기: 교생실습|하녀|베스트셀러|집 나온 남자들|육혈포 강도단|웨딩드레스|애니멀 타운|꼭 껴안고 눈물 핑|죽이러 갑니다|구르믈 버서난 달처럼|이웃집 남자|평행이론|하모니|시크릿|홍길동의 후예|백야행|부산|정승필 실종사건|내 사랑 내 곁에|불꽃처럼 나비처럼|요가학원|불신지옥|국가대표|해운대|여고괴담 5|거북이 달린다|인사동 스캔들|슬픔보다 더 슬픈 이야기|김씨표류기|1724 기방난동사건|멋진 하루|당신이 잠든 사이에|흑심모녀|비스티 보이즈|가루지기|지금, 이대로가 좋아요|대한이, 민국씨|6년째 연애중|슈퍼맨이었던 사나이|무방비도시|헨젤과 그레텔|내 사랑|싸움|펀치레이디|궁녀|행복|내 생애 최악의 남자|지금 사랑하는 사람과 살고 있습니까?|꽃미남 연쇄 테러 사건|황진이|밀양|극락도 살인사건|이장과 군수|언니|무서운 이야기2 '사고'|무서운 이야기2'444'"
이승철,LEE Seung-chul,LEE Seung-chul,사운드,
정재훈,JUNG Jae-hoon,JUNG Jae-hoon,VFX 슈퍼바이저,"방법: 재차의|서복|젊은이의 양지|지푸라기라도 잡고 싶은 짐승들|미스터 주: 사라진 VIP|점박이 한반도의 공룡2 : 새로운 낙원|소녀의 세계|성난황소|상류사회|오목소녀|마약왕|바람 바람 바람|곤지암|기억의 밤|유리정원|범죄도시|사촌여동생|사랑하기 때문에|판도라|고산자, 대동여지도|밀정|올레|터널|엽기적인 그녀 2|번개맨|더 폰|마돈나|나의 절친 악당들|국제시장|나의 사랑 나의 신부|명량|끝까지 간다|그 강아지 그 고양이|멜로|뽀로로 극장판 슈퍼썰매 대모험|노크|26년|레드마리아|회복|집행자|해운대|아부지|과속스캔들|좋은 놈, 나쁜 놈, 이상한 놈 |가루지기|트럭|허밍|엠|권순분여사 납치사건|기담|검은 집|택시 블루스|브레인웨이브|그곳에 있다.|김추자|Jam Docu 강정"
박상화,Park Sang-hwa,Park Sang-hwa,조명팀,"인질|젊은이의 양지|야구소녀|걸캅스|어쩌다, 결혼|메소드|경성학교: 사라진 소녀들|국제시장|표적|무명인|응징자|전국노래자랑|사랑해! 진영아|고지전|체포왕|수상한 고객들|여덟 번의 감정|내 남자의 순이|페어러브|낙타는 말했다|마녀의 관|똥파리|달려라 자전거|가루지기|경축! 우리사랑|동거, 동락|내 생애 최악의 남자|이대근 이 댁은|마파도2|조용한 세상|손님은 왕이다|사랑을 놓치다|가발|양아치어조|제니, 주노|귀신이 산다|분신사바|어린 신부|대한민국 헌법 제1조|블루|신비한 영어나라|무서운 이야기 '공포 비행기'"
