,ratings,comments
22,10,이영화 보면서 느낀점은 우리 부모님 누나 형들이 얼마나 개고생을 했는지 알수있었고 그 피땀을 어떤세력들이 가로챘는지 알수있는 영화였다. 마치 지들이 나라를 잘 다스려서 대한민국이 이만큼 잘살수 있었다 라고 포장하는 나쁜 세력들  진실은 우리부모님 누나 형들이 피땀흘려 잘살게 된것이란걸 다시 한번 느꼈다. 앞세대 선배님들 정말 고생하셨습니다.고개숙여 다시한번 감사드립니다.
23,8,보고 싶어요. 아버지.
24,8,연기최고
25,10,볼만한데
26,10,훌륭한 연기에 감동!!!
27,8,영화는 역사. 한국판  포레스트 검프인가요.  이북이 고향인 아버지는 눈물 흘리며 공감. 아이들에게 현대를 알리기에 좋은 영화입니다.
28,10,이산가족찾기보며 울면서 밤샌게 엊그제같은데  우리생애 최고의 한국영화 
29,10,훌륭한 영화입니다. 
30,10,"오늘 우리가 누리는 호사는 그분들의 피와땀 덕분이다. 내 아들, 손주도 언젠가는 내가 흘린 피와땀으로 호사를 누리겠지. 억울한게 아니라 자랑스럽고, 다행스럽다. 감사합니다."
31,10,아버지엄마 보구싶다
32,10,우리들의 아버지가 살았던 시대 그리고 현재 나의 삶을 돌아보게한다
33,10,유플러스 다시 결제.. 다시 봐도  서글프다. 
34,10,이걸 공감 못한다고? 하기싫은거겠지.. 우리 부모님들이 격었고 나도 그 남은 잔재속에 살았다. 나는 너무 어려 울엄마가 이산가족 상봉 방송보고 우는걸 이해못했는데 이제 알겠더라. 알건 알아야한다.국뽕이니 신파니 너무 남발하지마라. 평론가들 니들은 나이많아 알겠지만 모르는 젊은 사람들도 많다. 꼭 그들이 같이 슬퍼할 필요는 없으나 시대를 알고 역사를 아는게 나쁘지 않다.
35,8,그 꼰대들이 있어서 너희들이 좀 산다고 폼잡고 산다 과거의 아픔은 그대로 좀 봐주자 40대 이상은 정말 공감가는 영화
36,10,"어찌됐던  힘든 시대를 버텨내준 어른들의 삶을, 인생을, 그저 꽉막힌 꼰대들이라고 마냥  비판만은 하지는 말자.  그들이 지키고자 했던건 바로 다음 세대를 살아갈 우리들 이었을테니..."
37,6,그 시절들의 아버지의 고달픔
38,9,우리의 과거가 너무나도 실감난 영화
39,9,예전에 할머니께서 제가 어릴때 6.25 때 이야기를 해주신적이 있습니다 10남매를 데리고 피난도 못가시고 집에서 오롯이 버티고 10남매를 지켜냈다는이야기였어요 지금우리는 상상도 할수 없는 시련의 시대를 보내오셨다는게 이영화를 봄으로써 더욱더 존경하게 되었습니다  할머니가 돌아가신지 10년되었네요 보고싶습니다
40,9,"국뽕,역사왜곡.이딴거 다 필요없다. 내 돈주고 보는 상업영화는 관람하는 동안 그 영화에 집중하면 된다. 영화 끝날때까지 아무생각없이 볼 수 있는 영화가 잘만든 영화다. 역사왜곡따지면 다큐멘트리 보면된다. 다들 개소리하는거다."
41,7,참 힘들게 살았습니다.
42,9,힘들었던 시절의 이야기를 잘 살렸다. 최고의 영화
43,10,한국의 아픈역사가 잘 담겨있구요 배우분들이 그런아픔을 잘표현하신거 같에요ㅎ
44,8,과도기적 시대의 아프면서도 감동적인 가족사
45,5,아버지는 있고 어머니는 없고..국민은 있고 국가는 없고..애국은 있고  애민은 없고..돈은 있고 희생만 남은.. 이 좇같은 역사를 누구는 박수치며 즐긴다고 에라이 씨발놈들아! 할아부지  할머니 아부지  어머니 감사합니다..이젠 우리 애들을 위해서 다시  일어서주십시요..
46,10,사람 살아가는 이야기가 진하게 담겨있는 영화. 진영 논리로 영화의 의미가 완전히 파묻혀 버린 것이 안타깝다. 결국 어떤 입장에 서있든 간에 사람들이 말하는 좋은 영화는 자기가 보고 싶은 것을 보여주는 영화를 말하는 것인지...
47,10,ㅠㅠㅠ 누가 아버지들의 마음을 헤아릴까ㅠ 외롭고 책임만 있는 아버지!! 우리아버지..!! 그립습니다!!ㅠㅠ 참 잘만든 영화다!! 세상은 나날이 악해지고 이젠. 이런영화가 통할까!!?
48,10,우리시대의 아버지들의 가족을 위해 수고하신 모습이 잘 표현되어 좋았습니다 자기표현도 못하고 퉁명스럽고 화도 잘내고 ... 가족들에게도 소외되고.. 저희집하고 너무 비슷한 상황이어서 더 감동이엇네요
49,10,별로기대안하고봤다가펑펑울엇습니다ㅠㅠ추천이에요 가끔TV에나올때도보는데 옛날우리나라의시대도알수있고감동적인영화였습니다
50,10,너무 감명 깊게 봤습니다. 저 시대 때 헌신해주신 대한 민국 모든 인생의 선배님께 감사드립니다. 당신들의 희생과 노고가 현재 우리를 있게 만들어 주셨습니다. 고맙습니다. 
51,9,감정팔이다 뭐다 말들이 많은데..어제 이영화를보며 한가지 확실히 깨달은것은 그시대분들의 아픔과 희생을  통해 그리고 부모세대를통해 지금 우리가 이렇게 살아갈수 있다는...어른공경합시다!!!..
52,10,아버지께서 늘 해주시던 그 시대 이야기네요 우리들의 아버지 어머니가 보낸 고된 세월이라 생각하니 먹먹하고 감사합니다. 극중 황정민씨처럼 팍팍하신 저희 아버지가 조금은 마음으로 이해가 됩니다.
53,10,우리 아버님들 너무 존경합니다.
54,9,저는 기내에서 봤습니다 극장에서 안 본걸 후회했습니다 전개가 왔다갔다 하지만 이해하기 어렵지않았고 우리의 역사와  우리부모들의 삶을 좀 더 이해할수 있어서 좋았습니다 감동 역시 황정민 노인역할 잘하네요 굿
55,10,몇 번을 보아도 눈물이 난다.
56,9,전문가평점봐라  전문가는 다쓰레기인갑네  시대상만 보여주는게아니라 아버지의 무게. 아버지의 한사람으로써 정말 기분좋게울면서 봤습니다 연기자들 연기가 하나도 버릴게없음
57,10,나이 40에 펑펑 울면서 봐야했던 영화...이산가족이 상봉하는 장면에서 왜 그리 눈물이 나던지...
58,5,쓰레기들은쓰레기장가서놀아라그지섹히들아여와서딸치지말고
59,10,원래 잘안우는데 세상에서 가장 아름 다운 이별 이후로 가장 진심을 다해서 울었습니다 영화 정말 진심을 다하고 진정성있게 만든것같습니다
60,10,영화 잘봤습니다. 애국감성팔이니 머시껭이니 다 철부지들이나 하는 소리입니다. 이 영화는 그런시대를 살아온 우리들의 아버지 할아버지들의 이야기입니다. 많이 힘들었던 그시대 시절.. 이 영화를 욕하는 애들은 뭐든지 정치적으로 해석하려는 습성때문이겠죠. 반성하세요
61,10,웃다 울다 진짜 최근에 본영화중에 최고다 평점이 낮아서 10점준다
62,10,보는내내 눈물흐르는걸 훔치느라 참 힘들었던 영환데 평점 거지 같이 내리는 인간들보곤 참 니들은 밥은 먹고 사냐 하고 말하고 싶네요
63,8,국제시장국제시장 했던 이유가 있었네.지난날 힘들었던 우리 할아버지와 아버지들의 이야기.짠하게 잘 봤습니다.
64,10,보는내내 가슴이 먹먹했다.. 정말 추천하는 영화!!
65,10,오늘 국제시장 봤는데.. 정말 후반에는 제가 울게 되더라 고요.. 정말 잘만든 영화이고.. 이영화가 왜 정치적으로 문제가 되서 욕먹고 악플 달리는지 이해가 안가네요.. 영화는 영화로만 보시길요.. 정말 잘만든 영화였습니다.. 감동적이고요..
66,10,감동있게 봤네요~ 아버지때문에 꽃분이가게를 지키고자 했던....! 아픈 한국의 역사....
67,10,멋진영화임돠 여지것본것중 최고 특히 마지막대사 이제 못오시겠지.... 눈물핑
68,10,영화 재미있게 잘 봤습니다.
69,10,"아버지 생각 많이 하게되는 영화네...나이 40 중반이 되니,철 없을 때 이해 못했던 아버지의 마음과 행동이 이해가 된다.살아계실 때 잘해야지..."
70,8,색깔론으로 몰아세우길래 쓰레기 영화인 줄 알았드만 그냥 아버지를 그리워하는 아들에 대한 이야기구만..이게 왜 욕을 먹어야하는지 이해를 못하겠네..그냥 힘겨웠던 그 시대상을 우리 세대들이 정면으로 마주보기 불편해서 그런건가? 불편하게 보았다면 그건 비겁한 것 아닌가?
71,10,세상에 굴하지 않고 이겨내며 지금의 대한민국을 만들어주신 아버지세대에게 감사드립니다. 486세대들은 생각이 좀 바껴야 되지 않을까?
72,0,박근혜가 시킨 국뽕영화 딱 그정도
73,10,"이 영화 까는 새기들...그런 새기들이 정작,한국인은 지문 날인 강제로 실시하고 ,외국인은 인권 보호한다고 명분으로 외국인 지문 날인 제도 폐지 시킨 그 장본인 변호인은 10점 주더라...중국,일본,동남아,서남아 애들이 한국을 호구로 보는 이유가 다 있다..그런 새기들 때문에.."
74,8,.
75,8,6.25 사변에 뜻하지 않게 가장이 되어서  가족들 먹여 살리려 학업도 포기하고  줔으라 돈 벌어 일하고. 파독 광부에..  베트남 전쟁 군수업까지.  자기만의 인생을 살아라는 말이 생각나네.  근데 유노윤호는 진짜 레알 갑툭튀 뜬금이었다.  니가 왜 거기서 나와~ㅋㅋㅋ  그리고 광산에 갇렸을때 기절해 있던  황정민 깨울때  니가 줔으모 니 어마이랑 니 동생들 누가 돌보노~   빨리 일어나라. 글베이 자슥아ㅋㅋㅋ  개웃김ㅋㅋ 앙드레 김. 남진은 깨알ㅋ 
76,9,영화가 수준은 낮지만 우리부모님의 영광을 위해.~~♡♡
77,6,수준 떨어지는 한국판 포레스트 검프. 하지만 전후 우리의 어머니 아버지 세대의 힘든 삶을 다시한번 생각하게 만드는 영화
78,7,"우리 부모 세대 어른들의 삶의 흔적을 잔잔히, 조금은 다큐 비슷한 흐름으로  마음을 차분하게 해주는 작품~~^^*"
79,10,여기에도 정치적인 댓글이 달리는게 안타깝습니다. 정말 이분들이 계셨기에 현재 우리가 이렇게 살 수 있는 것이였습니다.
80,8,한국판 '포레스트 검프'...?
81,10,영화는 최곱니다  그렇지만 슬퍼요
82,10,굿
83,8,이 영화를 보시면 꼭 우실 겁니다. 내용이 많고 가득 찬 스토리예요. 결말까지 보면 주인공처럼 긴 모험을 갔다는 느낌이 납니다.   프로덕션: 9.0 스토리: 8.0 재미: 7.0
84,9,추억속으로 빠져드는 영화
85,10,
86,9,난 이때 태어나지도 않았지만 향수에 젖는다
87,9,
88,10,
89,10,베리굿
90,7,
91,10,감동적이네요 ㅠ 배우분들 연기실력 댑악댑악 
92,6,
93,0,
94,9,
95,6,
96,10,감동실화
97,10,good
98,10,가족들과 꼭 봐보자
99,10,
100,6,
101,10,우치 역사를 다시한번 기억할수있었어요  슬프고 재미있고 즐거웠어요
102,9,
103,7,
104,10,
105,10,좋은 영화네요!!!
106,10,최고의영화
107,6,
108,10,영화보다가 감격해보기는 처음이네. 최고!!!
109,8,
110,6,
111,4,
112,10,
113,7,
114,10,잘봤어요
115,10,네
116,8,
117,1,   ....
118,5,
119,8,
120,3,
121,7,
122,10,너무 슬펐어요 보다가 몇번 울었어요 
123,8,
124,7,뭔가 아쉬운 영화
125,9,
126,8,
127,10,영화 자체는 참 좋습니다.
128,4,
129,9,
130,1,
131,8,
132,10,
133,10,
134,3,볼만함
135,1,좋았어요
136,5,아버지 세대하고 말이 안 통한다. 이해나 설득이란 게 통하질 않는다. 그것 때문에 같이 뭘 하면 내 뜻을 접는 게 차라리 속 편하다. 그게 자존심이라고 생각하는 모양이다. 그것 때문에 무슨 말이라도 하면 모르면 가만히 있으라는 말을 한다. 좋게 넘어가는 법 없고 꼭 상대방을 긁어놓는 듯한 말을 해서 열받게 한다. 당연히 고쳐지지 않는다. 뭔 놈의 잔소리가 그리 많냐며 쏘아붙인다. 차라리 말을 안 하는 게 낫다. 세상이 그렇게 만들었고 그래서 아버지 세대들은 나라의 피해자다. 
137,7,
138,9,
139,8,이거는 인정
140,5,
141,5,여행갈때필수 집에서심심할때필수 초l신영호ㅏ무료ㄷL운 복사⟩⟩⟩ me2.do/FRd8DNL3
142,5,.
143,8,
144,6,
145,8,
146,10,
147,10,
148,0,
149,10,
150,5,
151,2,
152,6,비행기 탐
153,6,이산가족 상봉씬은 너무 슬퍼
154,9,군대 휴가 나와서 본 영화이다
155,7,
156,1,
157,5,
158,7,괜찮네
159,9,
160,7,정치를 떠나서 보면 볼만하다  
161,7,
162,0,...
163,10, ⟩
164,1,
165,0,.
166,10,
167,5,
168,2,
169,6,
170,6,
171,6,
172,10,
173,0,ㅡ.ㅡ
174,10,
175,8,
176,10,"말이 필요없는 명작~ 우리 할아버지 할머니, 아버지 어머니가 어떤 어려움과 삶을 살았는지 간접적으로 볼 수 있다. 감동과 재미가 가득한 명작~"
177,0,박의영화
178,8,
179,4,
180,5,
181,5,
182,5,
183,10,
184,8,
185,9,
186,7,
187,7,
188,9,
189,6,
190,7,그저 그렇네
191,9,
192,8,
193,8,"고난의 시대의 인생사 스토리...  우리 외삼촌도 사우디에 일하로 갔다 오셨고, 삼촌은 베트남전에 참전 하셨다.... 전혀 다른 사람이 아닌 내 주변의 어르신들이 다 겪은 인생사일듯...  세상에서 가장 슬픈 노래가 아마  ""누가~이 사람을 모르시나요~~~"" 이산가족찿기때 이 노래가 아마 세상 가장 슬픈 곡...같다..."
194,5,
195,4,
196,5,
197,3,뻔하다
198,5,
199,7,
200,5,
201,9,
202,3,
203,7,
204,4,
205,6,
206,8,
207,5,
208,10,
209,10,
210,8,
211,9,
212,9,
213,8,
214,10,슬파다
215,7,
216,10,
217,6,
218,10,
219,8,
220,5,
221,9,
222,2,2
223,6,
224,4,
225,5,
226,8,
227,0,"정말 이건 아님,,"
228,9,
229,10,
230,6,
231,10,최고!
232,9,
233,9,
234,5,
235,6,
236,0,
237,9,
238,7,
239,10,
240,7,
241,8,
242,10,
243,8,
244,5,
245,10,말이 필요없는 영화
246,10,
247,10,오대박 쨘하네.
248,9,
249,4,"이건뭐,,,,"
250,9,
251,8,영화는 좋았는데 진영논리자들은 왜 나대냐?? 
252,10,
253,8,
254,8,
255,6,
256,10,
257,9,
258,10,
259,8,
260,5,
261,8,
262,8,
263,10,
264,8,
265,7,
266,6,
267,8,
268,0,
269,7,
270,10,
271,6,
272,9,
273,8,
274,10,
275,5,
276,10,
277,10,ㅠㅜㅠ꼭보셈 진짜 너무 감동적이고 6.25당시 어땠는지 아주 자세하지는 않지만 리얼하다고나 할까?일단 첨에는  어렸을때 봤어서 잘 몰랐는데 좀 크고나서보니까 개슬프고 와닿더라
278,7,
279,9,
280,8,
281,9,
282,8,
283,8,현대사를 말한다...
284,9,"보는내내 감동의 눈물이 멈추지 않았다. 대한민국 현대사를 간략하게 요약한 영화다.(파독, 월남전, 이산가족상봉) 시대별로 주요 실제인물을 끼워 넣는 감독의 센스가 좋았다. 故 정주영 현대그룹회장, 故 앙드레김(김봉남), 남진 트로트 가수, 이만기 천하장사"
285,0,
286,1,
287,9,
288,6,노인들을 인정하자. 
289,5,
290,6,
291,7,
292,10,
293,3,
294,8,
295,4,
296,9,
297,10,
298,7,
299,7,
300,6,
301,9,
302,5,
303,9,
304,8,
305,7,
306,6,
307,4,
308,7,
309,7,
310,9,
311,9,
312,6,
313,8,
314,9,
315,8,
316,9,
317,5,
318,9,
319,8,
320,5,
321,8,
322,8,
323,10,
324,8,
325,8,
326,7,
327,10,
328,9,
329,7,
330,8,
331,7,
332,10,
333,8,
334,9,
335,7,
336,7,
337,10,
338,7,
339,2,
340,9,국제시장이나 변호인이나 멋진 영화인데 이렇게 호불호가 갈리는 게 더 웃기는 짬뽕이다 평점도 정치판이네 영화는 영화다
341,0,지금 생각해보면 얼마나 소름끼치는 일인지 천하의 몹쓸년이 얼나나 밀어줫을지
342,10,최고의 영화... 말이 필요없다
343,10,
344,1,
345,9,
346,10,
347,8,
348,2,
349,8,
350,3,
351,2,
352,10,
353,10,
354,8,
355,9,
356,10,
357,10,너무 슬프고 힘들었던 현대사를 감동적이고 재밌게 잘 표현하였네요~ 제 인생영화입니다.
358,8,
359,8,
360,9,
361,4,
362,10,
363,1,
364,9,
365,10,
366,6,
367,8,
368,10,
369,8,아픈 우리의 현대사...장남은 왜 희생만 해야하지?
370,10,
371,10,
372,4,
373,9,
374,7,
375,6,
376,10,
377,8,한국식 신파
378,7,
379,9,
380,8,
381,7,
382,6,
383,7,추억 팔기
384,2,
385,7,
386,7,
387,7,
388,10,
389,8,
390,4,
391,8,
392,10,
393,8,
394,8,
395,3,
396,8,
397,9,동감.감동
398,7,
399,9,
400,7,
401,10,
402,10,그때는 그랬는데..
403,4,사진가 최민식 선생한테 인사는 하셨소?
404,5,
405,8,
406,1,
407,5,
408,8,
409,6,
410,3,
411,2,
412,7,
413,8,
414,8,
415,5,
416,9,재미서음.
417,10,ㅠ ㅠ
418,7,
419,2,
420,8,
421,2,황정민 황정민 정민아...
422,0,
423,8,.
424,6,
425,9,
426,0,최악의 영화. 되도안한 애국과 반공을 목구멍으로 어거지로 쑤셔넣는기분. 분장에는 1원도 안쓴듯. 노인분장에 진짜 실소가 나옴
427,8,
428,5,"노인 연기가 어색하네유.이산 가족 찾기에서 동생 막순이 찾았을 때 눈물 나왔네유. '역시 영화가 그렇지 뭐' 라는 생각이 종종 들었지만 당시 시대 상황을 보여주기 위해서는 피난 중에 아버지와 동생과 헤어지는 것, 탄광 폭발 사건 등은 시나리오에 넣어야 하는 게 이해가 되네유."
429,3,
430,9,
431,8,
432,6,
433,6,
434,10,
435,10,부산 국제시장
436,9,
437,5,
438,4,
439,4,
440,8,
441,6,
442,5,
443,6,
444,9,
445,10,
446,6,
447,7,
448,5,
449,8,
450,10,
451,6,
452,10,
453,2,
454,8,
455,7,
456,10,
457,6,
458,8,
459,4,
460,7,
461,8,
462,1,
463,9,
464,9,
465,9,
466,6,
467,10,
468,8,
469,10,
470,1,
471,10,
472,9,
473,10,
474,4,
475,0,
476,9,
477,5,
478,10,
479,10,
480,8,
481,9,
482,3,
483,8,
484,5,
485,9,
486,9,
487,8,
488,4,시대가 뒤떨어진 영화
489,6,
490,10,
491,1,
492,9,
493,7,
494,10,
495,10,
496,9,
497,8,
498,10,
499,8,
500,5,
501,7,
502,7,
503,8,
504,4,
505,0,
506,7,
507,5,
508,1,ㅡ ㅡ
509,2,
510,10,성인이라면 꼭 봐야하는 인생영화.
511,10,너무 감동이였음... 원래 엄마 아빠랑 있으면 잘 안우는데 이거 보고 펑펑 울었음...
512,4,
513,7,
514,8,
515,10,
516,4,
517,7,
518,9,정말 슬퍼요 처음부터울었어요
519,1,
520,1,
521,6,
522,7,
523,9,정치적인 논쟁 빼고보면 재미있음
524,5,
525,7,
526,10,
527,3,
528,7,
529,10,
530,7,
531,7,천만치고 그닥
532,6,
533,4,
534,5,
535,7,
536,6,
537,9,
538,1,
539,9,
540,7,
541,7,
542,5,역시 영화는 누구랑 보는냐도 중요. 좋지 않은 사람들과 보니 내용도 기억이 안나고 왜 이영화를 추천했는지도 짜증나네
543,7,
544,10,내가 지금까지 한국 영화 중에서 최고에 걸작이었다 10점 만점 스토리 다양하게 아무튼 매우 좋았다 ( 국제 시장)
545,9,
546,6,
547,7,
548,10,
549,8,
550,9,
551,6,
552,7,"덕수라는 가상의 인물에 대한 자전극이지, 이 영화를 시대극으로 보기에는 조금 어려운 부분이 있다. 대한민국의 현대사는 민주화와 산업화 두 축이 있는데 민주화는 언급이 안되었고, 산업화 부분 역시 덕수가 경험한 극히 미시적 시점으로만 그려진다. 격동의 시기를 살아간 소시민에 대한 헌정영화로서 가치가 있다"
553,5,영화는 시대를 반영해야 한다. 홍보는 아니다.
554,5,
555,10,공감되는 내용들이 많았다. 참 좋은 영화이다. 
556,2,
557,10,
558,5,배우들 연기는 좋았으나 먼가 바람몰이식의 구성설정은 비판받아야
559,7,
560,10,
561,8,
562,8,그시절의 모습을 잘 본거 같다. 재밌다. 아프기도 하고.. 대립이 아닌 이해를 중점에 둔 영화인듯.. 
563,10,강추~~
564,10,
565,10,
566,6,
567,9,
568,8,
569,6,
570,6,
571,6,
572,10,
573,10,
574,6,감성팔이
575,10,
576,7,
577,6,
578,9,
579,8,
580,8,
581,10,
582,6,
583,9,
584,5,
585,3,정치적으로 영화를 이용해서 국민들을 쇄뇌시키려는 의도가 역력히 보인다.  인천상륙작전도 그게 영화인가?
586,1,디지탈 영상쓰레기 
587,9,
588,10,정말 잘만든 추억 영화
589,9,
590,1,
591,3,영화라기보다 국정홍보드라마? 그래도 볼만은 하다
592,10,
593,8,왠지 문득문득 황정민이 어색함. 김윤진의 사투리도 어색함. 하지만 같이 본 어른들이 눈물흘릴정도로 좋아하셨음. 과거를 잊지 말고 미래를 계획하는 우리나라가 되길 바래본다.
594,10,하고싶어요제발보내드립니다!
595,10,하고싶어요제발보내드립니다!
596,9,
597,10,
598,10,
599,10,
600,8,
601,3,감동과 재미있고  재미있어습니다 배경이1950년 
602,7,
603,8,
604,9,
605,10,가족끼리 이야기 나누면서 우리나라의 역사를 이해할 수있는 대작이었네요^^
606,6,
607,1,...
608,10,
609,10,눈물쏙빼는 감동적인 영화
610,10,정말 대단한 영화...
611,6,
612,7,
613,6,재미있네요
614,5,
615,10,
616,10,
617,7,
618,4,
619,5,
620,5,상황과 설정이 모두 너무 작위적이다. 
621,6,
622,8,정치적 편견없이 영화로만 보면 좋은 작품이다. 배우도 훌룡하고
623,7,라면하나 끓여먹으면서 이 영화를 보니... 제맛이구먼....
624,10,감독님 맞으시죠?국제시장요 지금보고있는데 대박 시나리오가 생각나서  무차별로연락보내드려봅니다  제 메일은 n-paboya24.nate.com 수고하세요
625,10,
626,8,
627,8,
628,7,
629,8,
630,3,
631,9,
632,10,아 ㅠ 국제시장 대박!!
633,9,
634,10,아.  눈물 나
635,0,......
636,10,
637,9,
638,5,
639,7,
640,4,4점도 많이 주는거임!
641,3,
642,3,
643,10,굿 말이 필요없다 
644,9,
645,9,엔딩에 눈물흘릴수 있는 마음을 짠하게영화...
646,2,
647,8,
648,1,윤제균감독 특유의 억지감동 스토리..진부할뿐이다
649,6,
650,0,손발 오그라드는 저질영화
651,1,
652,9,
653,9,
654,7,
655,8,
656,9,
657,10,
658,5,
659,9,
660,7,
661,7,
662,10,
663,8,
664,3,
665,8,
666,8,
667,8,
668,6,
669,4,
670,8,
671,10,변호인 네이버 다음평정:둘다9점 국제시장 네이버 다음평점:각각 9점 7점 무엇을 의미하는지 잘생각해보라 지나치게 편향되어있는거아닌지
672,6,
673,10,고달픈 인생의 살아있는 경험을 엮어서 울며 웃으며 생각하게 해주는 영화에 감동받았음
674,6,
675,10,
676,6,
677,6,
678,10,
679,8,
680,6,좀 더 멋있게 세련된 감동으로 그려줄수 있었잖아.. 이정도 만듦새에 천사백만은 좀 씁슬해
681,10,
682,7,
683,5,
684,5,
685,1,
686,9,
687,7,
688,4,
689,6,
690,10,..
691,10,.
692,5,영어제목이 낫구만...
693,6,한국 현대사의 아픔을 표현하기엔 역부족 마음에 와닿지 않았음
694,10,우리 아버지들에게 경의를 표합니다!!
695,10,한국 현대사의 아픔과 그 것을 이겨내기 위해 노력한 주인공의 헌신이 돋보인 작품이었습나다
696,4,과거에 파묻힌 자들에게 필요한 것은 2시간 짜리의 영화가 아닌 대한민국의 미래다
697,5,"넓은 폭, 얕은 깊이."
698,10,아주잼나네요  눈물 ㅠ  
699,3,근현대사의 그럴싸한 사건은 다 욱여넣은 어이없는 영화.. 복고를 하려면 제대로하자. 이것저것 다 핥아가면서 감정몰이하는 영화
700,6,이산가족 찾는 장면 빼고는 뭐...
701,10,아버지 너무 힘듭니다
702,10,감동을 주는 영화
703,4,그냥 지루하구 재미없다
704,10,"조금전 티비엔 으로 봤는데...보는 내내 눈물 글썽였음.. 우리 어머니도 똑같이 미 군함, 같은 배, 타고 내려 오셨다던데... 다시는 생각하기 싫다고 하셨는데, ㅎㅎ 옆에서 어머니는 주무시고 나혼자 조용히 소리 죽여가며 봤음.."
705,10,Tvn으로 방금 봤어요. 재밌고 눈물나고 꼭 봐야하는 영화네요. 감동
706,8,시대를 아우르는 시대극 tvn에서 봄
707,8,덕수야. 네 그만하면 참 잘 살았다
708,7,재밌긴 한데 왜 영화 후반부랑 초중반이랑 인물 성격이 다르게 나오는 건지 이해가 안 됐음
709,0, 전형적인 갱상도인을 위한 박정희 찬양영화 황정민과 김윤진의 연기가 무척이나 아까운 영화...분명히 폄하당해도 싼 영화임... 
710,1,정말 재미없어!  실망이다 실망
711,7,막순이 상봉하는 장면에서 눈물이 흐르고 목이 멘다.
712,7,한번쯤 볼만하지만 두번은 볼 것 같지 않다. 이산가족 찾는 장면은 눈물이 나왔다.
713,3,"내가 오늘에서 봤는데 이건 강제규 영화 ""마이 웨이""하고 비슷하더만  너무 한꺼번에 현대사를 담을려다 보니. 뒤죽박죽 억지 울음.  처음 40분은 정말 좋았다.  독일 탄광 사고 까지도 좋았다 그후부터 아휴 질려서 껏다.   "
